Site Code,Site Name,Site Responsible,Site Latitude,Site Longitude,IGBP Cde
FI-Jo3,Jokioinen3,Kristiina Regina,60.8988,23.5131,CRO
FI-Jok,Jokioinen,Tuomas Laurila Annalea Lohila,60.8986,23.51345,CRO
FI-Kaa,Kaamanen,Mika Aurela,69.14057,27.26985,WET
FI-Ken,Kenttarova,Tuomas Laurila| Mika Aurela,67.98723,24.24305,ENF
FI-Kmp,Kumpula,Leena Järvi,60.20288716,24.96104572,URB
FI-Kns,Kalevansuo,Tuomas Laurila,60.64683333,24.356167,ENF
FI-Kvr,Kuivajarvi,Anne Ojala,61.84662,24.2804,WAT
FI-Let,Lettosuo,Tuomas Laurila| Annalea Lohila,60.64183,23.95952,ENF
FI-Lom,Lompolojankka,Tuomas Laurila| Annalea Lohila,67.997239,24.209178,WET
FI-Qvd,Qvidja,Laura Heimsch,60.295242,22.391607,CRO
FI-Si2,Siikaneva-2 Bog,Eeva-Stiina Tuittila,61.8372,24.1967,WET
FI-Sii,Siikaneva,Eeva-Stiina Tuittila,61.83265,24.19285,WET
FI-Skj,Siikajoki,Eeva-Stiina Tuittila,64.7807,24.6515,WET
FI-Sod,Sodankyla,Tuomas Laurila| Mika Aurela| EFDC Staff,67.36238641,26.63859066,ENF
FI-Var,Varrio,Pasi Kolari,67.7549,29.61,ENF
FI-Ves,Vesijako,Kari Minkkinen,61.3716,25.1055,ENF
FR-Aur,Aurade,Eric Ceschia| Tiphaine Tallec,43.549653,1.106096,CRO
